samplesize,run,shrinkage,LossFunc,Predictors,OptNumTrees,TPR,TNR,Accuracy,AUC,Concordance
7000,3,0.08,bernoulli,34,217,0.749428571,0.692571429,0.721,0.795752449,0.795747429
7000,3,0.08,adaboost,35,227,0.739428571,0.702571429,0.721,0.793744245,0.793741224
7000,3,0.09,bernoulli,33,149,0.738857143,0.687714286,0.713285714,0.789665714,0.789662939
7000,3,0.09,adaboost,36,204,0.738857143,0.691142857,0.715,0.793947061,0.793945714
7000,3,0.1,bernoulli,28,98,0.738,0.682,0.71,0.782828531,0.782779102
7000,3,0.1,adaboost,37,172,0.744285714,0.685714286,0.715,0.791528857,0.791522694
7000,4,0.001,bernoulli,37,14194,0.742857143,0.675428571,0.709142857,0.783414816,0.783414776
7000,4,0.001,adaboost,37,15189,0.742857143,0.674,0.708428571,0.783426041,0.783426041
7000,4,0.01,bernoulli,37,1116,0.74,0.669714286,0.704857143,0.77851551,0.77851502
7000,4,0.01,adaboost,37,1396,0.738285714,0.67,0.704142857,0.780655592,0.780655184
7000,4,0.02,bernoulli,37,686,0.744571429,0.669714286,0.707142857,0.782263429,0.78226302
7000,4,0.02,adaboost,37,656,0.742857143,0.666857143,0.704857143,0.779630857,0.779629878
7000,4,0.03,bernoulli,36,423,0.738571429,0.675428571,0.707,0.780476776,0.780474041
7000,4,0.03,adaboost,36,458,0.741714286,0.667714286,0.704714286,0.78082751,0.780825959
