"samplesize","run","shrinkage","LossFunc","Predictors","OptNumTrees","TPR","TNR","Accuracy","AUC","Concordance"
7000,2,0.001,bernoulli,34,16715,0.745714285714286,0.726857142857143,0.736285714285714,0.821289714285711,0.821289632653061
7000,2,0.001,adaboost,34,15122,0.745428571428571,0.717714285714286,0.731571428571429,0.817564653061225,0.817564571428571
7000,2,0.01,bernoulli,34,1829,0.749714285714286,0.729714285714286,0.739714285714286,0.82279114285714,0.822790857142857
7000,2,0.01,adaboost,34,1531,0.747142857142857,0.717142857142857,0.732142857142857,0.817635183673472,0.817634448979592
7000,2,0.02,bernoulli,34,812,0.746,0.727428571428571,0.736714285714286,0.819889265306121,0.819888326530612
7000,2,0.02,adaboost,34,735,0.745714285714286,0.715428571428571,0.730571428571429,0.817032938775505,0.817031673469388
7000,2,0.03,bernoulli,34,613,0.75,0.728285714285714,0.739142857142857,0.821495836734698,0.821493959183674
7000,2,0.03,adaboost,34,416,0.741714285714286,0.714571428571429,0.728142857142857,0.814213959183671,0.814209714285714
7000,2,0.04,bernoulli,34,411,0.746857142857143,0.726,0.736428571428571,0.819413714285717,0.819408244897959
7000,2,0.04,adaboost,34,278,0.746857142857143,0.711428571428571,0.729142857142857,0.812524326530608,0.812509306122449
7000,2,0.05,bernoulli,34,256,0.748,0.715714285714286,0.731857142857143,0.814980857142858,0.814968979591837
7000,2,0.05,adaboost,34,363,0.749428571428571,0.714571428571429,0.732,0.819775673469387,0.819767102040816
7000,2,0.06,bernoulli,34,267,0.746,0.721714285714286,0.733857142857143,0.817694204081629,0.817686448979592
7000,2,0.06,adaboost,33,183,0.741428571428571,0.714571428571429,0.728,0.812298244897958,0.812276734693878
7000,2,0.07,bernoulli,33,138,0.741142857142857,0.716,0.728571428571429,0.811029224489797,0.811001469387755
7000,2,0.07,adaboost,34,172,0.739428571428571,0.720857142857143,0.730142857142857,0.811942775510201,0.811931102040816
